  id  | article_date |   category    |              source_file               |         collected_at          |                             left                             
 1712 | 2026-05-08   | world_economy | articles/world_economy/2026-05-08.json | 2026-05-08 11:13:09.413719+00 | 解放されたイスラエル人質、10月7日攻撃の弾片が体内に残存―
 1718 | 2026-05-09   | world_economy | articles/world_economy/2026-05-09.json | 2026-05-08 15:50:33.633177+00 | 解放されたイスラエル人人質、体内に10月7日攻撃のシュラプネ
 1724 | 2026-05-10   | world_economy | articles/world_economy/2026-05-10.json | 2026-05-09 20:04:04.456294+00 | 解放されたイスラエル人質、体内に残ったまま―10月7日攻撃の
 1730 | 2026-05-11   | world_economy | articles/world_economy/2026-05-11.json | 2026-05-10 20:05:38.586073+00 | 解放されたイスラエル人人質、体内に今もガザ攻撃の榴散弾が残存
 1736 | 2026-05-12   | world_economy | articles/world_economy/2026-05-12.json | 2026-05-12 00:08:32.47869+00  | 解放されたイスラエル人質、8ヶ月のトンネル生活と体内に残る破
 1742 | 2026-05-13   | world_economy | articles/world_economy/2026-05-13.json | 2026-05-12 20:48:32.426185+00 | 解放されたイスラエル人人質、10月7日攻撃の榴散弾が体内に残
 1748 | 2026-05-14   | world_economy | articles/world_economy/2026-05-14.json | 2026-05-13 20:53:52.589975+00 | 解放されたイスラエル人質、10月7日攻撃の砲弾破片が体内に残
 1754 | 2026-05-15   | world_economy | articles/world_economy/2026-05-15.json | 2026-05-15 14:06:21.296366+00 | 解放されたイスラエル人質、8ヶ月間トンネルに拘束―体内に今も
 1760 | 2026-05-16   | world_economy | articles/world_economy/2026-05-16.json | 2026-05-15 20:24:05.59974+00  | 解放されたイスラエル人質、8ヶ月間トンネルに拘束―体内に残る
 1692 | 2026-05-05   | world_economy | articles/world_economy/2026-05-05.json | 2026-05-05 11:15:11.302431+00 | パレスチナ人がガザ北部へ徒歩で帰還開始―人質解放合意が膠着状
 1698 | 2026-05-06   | world_economy | articles/world_economy/2026-05-06.json | 2026-05-06 11:31:00.089635+00 | ガザ北部への帰還開始：人質解放の停滞打破でパレスチナ人が徒歩
 1704 | 2026-05-07   | world_economy | articles/world_economy/2026-05-07.json | 2026-05-07 11:21:51.478918+00 | パレスチナ人がガザ北部へ徒歩で帰還開始―人質解放合意でイスラ
 1710 | 2026-05-08   | world_economy | articles/world_economy/2026-05-08.json | 2026-05-08 11:12:28.865005+00 | パレスチナ人がガザ北部へ徒歩で帰還開始―人質解放合意を受けイ
 1716 | 2026-05-09   | world_economy | articles/world_economy/2026-05-09.json | 2026-05-08 15:49:53.909123+00 | パレスチナ人がガザ北部へ徒歩で帰還——人質解放交渉の合意でイ
 1722 | 2026-05-10   | world_economy | articles/world_economy/2026-05-10.json | 2026-05-09 20:03:23.691948+00 | パレスチナ人がガザ北部へ徒歩で帰還開始――人質解放合意を受け
 1728 | 2026-05-11   | world_economy | articles/world_economy/2026-05-11.json | 2026-05-10 20:04:56.679705+00 | ガザ北部へ避難民が徒歩で帰還開始——人質解放交渉の突破口が生
 1734 | 2026-05-12   | world_economy | articles/world_economy/2026-05-12.json | 2026-05-12 00:07:50.866267+00 | パレスチナ人がガザ北部へ徒歩で帰還――人質交渉の打開で軍事境
 1740 | 2026-05-13   | world_economy | articles/world_economy/2026-05-13.json | 2026-05-12 20:47:49.959174+00 | イスラエルがガザ北部への帰還を許可——人質解放の合意突破口で
 1746 | 2026-05-14   | world_economy | articles/world_economy/2026-05-14.json | 2026-05-13 20:53:05.248753+00 | イスラエルがガザ北部への帰還を許可―人質解放の行き詰まり打開
 1752 | 2026-05-15   | world_economy | articles/world_economy/2026-05-15.json | 2026-05-15 14:05:42.806291+00 | イスラエルがガザ北部への帰還を許可――人質解放合意の突破口で
 1758 | 2026-05-16   | world_economy | articles/world_economy/2026-05-16.json | 2026-05-15 20:23:26.582322+00 | イスラエルがガザ北部への帰還を許可——人質解放合意で停滞打破
(36 rows)

